Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0464655	Rtr9	0	1	LastDelay	0.0400018	40001.8	1	2
0.0464655	Rtr9	0	1	FullDelay	0.0400018	40001.8	1	2
0.0526641	Rtr11	0	1	LastDelay	0.0400018	40001.8	1	2
0.0526641	Rtr11	0	1	FullDelay	0.0400018	40001.8	1	2
0.0564818	Rtr4	0	1	LastDelay	0.05473	54730	1	3
0.0564818	Rtr4	0	1	FullDelay	0.05473	54730	1	3
0.0633037	Rtr9	0	2	LastDelay	0.0389733	38973.3	1	2
0.0633037	Rtr9	0	2	FullDelay	0.0389733	38973.3	1	2
0.0633037	Rtr11	0	2	LastDelay	0.0400018	40001.8	1	2
0.0633037	Rtr11	0	2	FullDelay	0.0400018	40001.8	1	2
0.0664749	Rtr12	0	1	LastDelay	0.0561823	56182.3	1	4
0.0664749	Rtr12	0	1	FullDelay	0.0561823	56182.3	1	4
0.0664903	Rtr2	0	1	LastDelay	0.0579408	57940.8	1	4
0.0664903	Rtr2	0	1	FullDelay	0.0579408	57940.8	1	4
0.0704804	Rtr9	0	3	LastDelay	0.0400018	40001.8	1	2
0.0704804	Rtr9	0	3	FullDelay	0.0400018	40001.8	1	2
0.073039	Src2	0	1	LastDelay	0.0600265	60026.5	1	3
0.073039	Src2	0	1	FullDelay	0.0600265	60026.5	1	3
0.0743484	Rtr4	0	2	LastDelay	0.0582415	58241.5	1	3
0.0743484	Rtr4	0	2	FullDelay	0.0582415	58241.5	1	3
0.0756992	Rtr9	0	4	LastDelay	0.0376165	37616.5	1	2
0.0756992	Rtr9	0	4	FullDelay	0.0376165	37616.5	1	2
0.0764835	Src5	0	1	LastDelay	0.0607075	60707.5	1	5
0.0764835	Src5	0	1	FullDelay	0.0607075	60707.5	1	5
0.0764835	Src3	0	1	LastDelay	0.0753438	75343.8	1	5
0.0764835	Src3	0	1	FullDelay	0.0753438	75343.8	1	5
0.0764835	Src4	0	1	LastDelay	0.0646177	64617.7	1	5
0.0764835	Src4	0	1	FullDelay	0.0646177	64617.7	1	5
0.0764835	Rtr19	0	1	LastDelay	0.0612919	61291.9	1	5
0.0764835	Rtr19	0	1	FullDelay	0.0612919	61291.9	1	5
0.0764989	Rtr1	0	1	LastDelay	0.059139	59139	1	5
0.0764989	Rtr1	0	1	FullDelay	0.059139	59139	1	5
0.0769525	Rtr11	0	3	LastDelay	0.0400018	40001.8	1	2
0.0769525	Rtr11	0	3	FullDelay	0.0400018	40001.8	1	2
0.0804966	Rtr4	0	3	LastDelay	0.0548288	54828.8	1	3
0.0804966	Rtr4	0	3	FullDelay	0.0548288	54828.8	1	3
0.0830475	Rtr3	0	1	LastDelay	0.0749661	74966.1	1	4
0.0830475	Rtr3	0	1	FullDelay	0.0749661	74966.1	1	4
0.0833131	Rtr12	0	2	LastDelay	0.0630657	63065.7	1	4
0.0833131	Rtr12	0	2	FullDelay	0.0630657	63065.7	1	4
0.0840146	Src2	0	2	LastDelay	0.0600265	60026.5	1	3
0.0840146	Src2	0	2	FullDelay	0.0600265	60026.5	1	3
0.084357	Rtr2	0	2	LastDelay	0.072557	72557	1	4
0.084357	Rtr2	0	2	FullDelay	0.072557	72557	1	4
0.0846247	Rtr9	0	5	LastDelay	0.0270696	27069.6	1	2
0.0846247	Rtr9	0	5	FullDelay	0.0270696	27069.6	1	2
0.0857155	Rtr4	0	4	LastDelay	0.0597645	59764.5	1	3
0.0857155	Rtr4	0	4	FullDelay	0.0597645	59764.5	1	3
0.086492	Src1	0	1	LastDelay	0.0667862	66786.2	1	6
0.086492	Src1	0	1	FullDelay	0.0667862	66786.2	1	6
0.0904898	Rtr12	0	3	LastDelay	0.0629578	62957.8	1	4
0.0904898	Rtr12	0	3	FullDelay	0.0629578	62957.8	1	4
0.0905052	Rtr2	0	3	LastDelay	0.0761156	76115.6	1	4
