Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
1	Rtr1	combined	Drop	0	0	0	0
1	Rtr2	combined	Drop	0	0	0	0
1	Rtr3	combined	Drop	0	0	0	0
1	Rtr4	combined	Drop	0	0	0	0
1	Rtr5	combined	Drop	13	1	17	2.29102
1	Rtr6	combined	Drop	0	0	0	0
1	Rtr7	combined	Drop	12	1	16	2.15625
1	Rtr8	combined	Drop	771	103	964	129.885
1	Rtr9	combined	Drop	0	0	0	0
1	Rtr10	combined	Drop	0	0	0	0
1	Rtr11	combined	Drop	0	0	0	0
1	Rtr12	combined	Drop	0	0	0	0
1	Rtr13	combined	Drop	0	0	0	0
1	Rtr14	combined	Drop	0	0	0	0
1	Rtr15	combined	Drop	0	0	0	0
1	Rtr16	combined	Drop	0	0	0	0
1	Rtr17	combined	Drop	0	0	0	0
1	Rtr18	combined	Drop	0	0	0	0
1	Rtr19	combined	Drop	0	0	0	0
1	Src1	combined	Drop	0	0	0	0
1	Src2	combined	Drop	0	0	0	0
1	Src3	combined	Drop	0	0	0	0
1	Src4	combined	Drop	0	0	0	0
1	Src5	combined	Drop	0	0	0	0
1	Dst1	combined	Drop	6307	849	7884	1062.36
1	Dst2	combined	Drop	0	0	0	0
1	Dst3	combined	Drop	5937	800	7422	1000.17
2	Rtr1	combined	Drop	0	0	0	0
2	Rtr2	combined	Drop	0	0	0	0
2	Rtr3	combined	Drop	0	0	0	0
2	Rtr4	combined	Drop	0	0	0	0
2	Rtr5	combined	Drop	8	0	7	0.943359
2	Rtr6	combined	Drop	0	0	0	0
2	Rtr7	combined	Drop	20	2	23	3.09961
2	Rtr8	combined	Drop	907	122	942	126.949
2	Rtr9	combined	Drop	0	0	0	0
2	Rtr10	combined	Drop	0	0	0	0
2	Rtr11	combined	Drop	0	0	0	0
2	Rtr12	combined	Drop	179	24	224	30.1875
2	Rtr13	combined	Drop	0	0	0	0
2	Rtr14	combined	Drop	0	0	0	0
2	Rtr15	combined	Drop	0	0	0	0
2	Rtr16	combined	Drop	0	0	0	0
2	Rtr17	combined	Drop	0	0	0	0
2	Rtr18	combined	Drop	0	0	0	0
2	Rtr19	combined	Drop	0	0	0	0
2	Src1	combined	Drop	0	0	0	0
2	Src2	combined	Drop	0	0	0	0
2	Src3	combined	Drop	0	0	0	0
2	Src4	combined	Drop	0	0	0	0
2	Src5	combined	Drop	0	0	0	0
2	Dst1	combined	Drop	6595	888	6667	898.482
2	Dst2	combined	Drop	0	0	0	0
2	Dst3	combined	Drop	6344	854	6446	868.699
3	Rtr1	combined	Drop	0	0	0	0
