Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	Rtr1	combined	Drop	0	0	0	0
0.5	Rtr2	combined	Drop	0	0	0	0
0.5	Rtr3	combined	Drop	0	0	0	0
0.5	Rtr4	combined	Drop	0	0	0	0
0.5	Rtr5	combined	Drop	3	3	2	2.08984
0.5	Rtr6	combined	Drop	0	0	0	0
0.5	Rtr7	combined	Drop	0	0	0	0
0.5	Rtr8	combined	Drop	6275	6556	3922	4097.79
0.5	Rtr9	combined	Drop	305	319	191	199.58
0.5	Rtr10	combined	Drop	120	125	75	78.3691
0.5	Rtr11	combined	Drop	0	0	0	0
0.5	Rtr12	combined	Drop	0	0	0	0
0.5	Rtr13	combined	Drop	0	0	0	0
0.5	Rtr14	combined	Drop	0	0	0	0
0.5	Rtr15	combined	Drop	0	0	0	0
0.5	Rtr16	combined	Drop	0	0	0	0
0.5	Rtr17	combined	Drop	0	0	0	0
0.5	Rtr18	combined	Drop	0	0	0	0
0.5	Rtr19	combined	Drop	0	0	0	0
0.5	Src1	combined	Drop	0	0	0	0
0.5	Src2	combined	Drop	0	0	0	0
0.5	Src3	combined	Drop	0	0	0	0
0.5	Src4	combined	Drop	0	0	0	0
0.5	Src5	combined	Drop	0	0	0	0
0.5	Dst1	combined	Drop	10729	11210	6706	7006.79
0.5	Dst2	combined	Drop	0	0	0	0
0.5	Dst3	combined	Drop	19945	20839	12466	13024.8
1	Rtr1	combined	Drop	0	0	0	0
1	Rtr2	combined	Drop	0	0	0	0
1	Rtr3	combined	Drop	0	0	0	0
1	Rtr4	combined	Drop	0	0	0	0
1	Rtr5	combined	Drop	58	60	36	37.6113
1	Rtr6	combined	Drop	0	0	0	0
1	Rtr7	combined	Drop	0	0	0	0
1	Rtr8	combined	Drop	7192	7515	3711	3877.49
1	Rtr9	combined	Drop	923	964	539	563.149
1	Rtr10	combined	Drop	23	24	0	0
1	Rtr11	combined	Drop	0	0	0	0
