Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	Rtr1	combined	Drop	0	0	0	0
0.5	Rtr2	combined	Drop	0	0	0	0
0.5	Rtr3	combined	Drop	0	0	0	0
0.5	Rtr4	combined	Drop	0	0	0	0
0.5	Rtr5	combined	Drop	3	3	2	2.08984
0.5	Rtr6	combined	Drop	0	0	0	0
0.5	Rtr7	combined	Drop	0	0	0	0
0.5	Rtr8	combined	Drop	6134	6409	3834	4005.84
0.5	Rtr9	combined	Drop	347	362	217	226.721
0.5	Rtr10	combined	Drop	126	132	79	82.5488
0.5	Rtr11	combined	Drop	0	0	0	0
0.5	Rtr12	combined	Drop	0	0	0	0
0.5	Rtr13	combined	Drop	0	0	0	0
0.5	Rtr14	combined	Drop	0	0	0	0
0.5	Rtr15	combined	Drop	0	0	0	0
0.5	Rtr16	combined	Drop	0	0	0	0
0.5	Rtr17	combined	Drop	0	0	0	0
0.5	Rtr18	combined	Drop	0	0	0	0
0.5	Rtr19	combined	Drop	0	0	0	0
0.5	Src1	combined	Drop	0	0	0	0
0.5	Src2	combined	Drop	0	0	0	0
0.5	Src3	combined	Drop	0	0	0	0
0.5	Src4	combined	Drop	0	0	0	0
0.5	Src5	combined	Drop	0	0	0	0
0.5	Dst1	combined	Drop	10835	11321	6772	7075.75
0.5	Dst2	combined	Drop	193	202	121	126.436
0.5	Dst3	combined	Drop	18073	18883	11296	11802.4
1	Rtr1	combined	Drop	0	0	0	0
1	Rtr2	combined	Drop	0	0	0	0
1	Rtr3	combined	Drop	0	0	0	0
1	Rtr4	combined	Drop	0	0	0	0
1	Rtr5	combined	Drop	58	60	36	37.6113
1	Rtr6	combined	Drop	0	0	0	0
1	Rtr7	combined	Drop	0	0	0	0
1	Rtr8	combined	Drop	6343	6628	3198	3341.43
1	Rtr9	combined	Drop	2253	2354	1365	1426.2
1	Rtr10	combined	Drop	25	26	0	0
1	Rtr11	combined	Drop	0	0	0	0
